date,Price,High,Low,Volume,Direction
1/11/2012 16:00:00,1.88,1.89,1.82,672239,Up
1/12/2012 16:00:00,1.88,1.91,1.85,729300,Up
1/13/2012 16:00:00,1.52,1.9,1.51,5506439,Up
1/17/2012 16:00:00,1.77,1.82,1.76,4652386,Up
1/18/2012 16:00:00,1.79,1.79,1.75,1260183,Up
1/19/2012 16:00:00,1.78,1.85,1.77,1246222,Up
1/20/2012 16:00:00,1.77,1.8,1.76,662289,Up
1/23/2012 16:00:00,1.78,1.81,1.77,594533,Up
1/24/2012 16:00:00,1.83,1.85,1.76,857914,Up
1/25/2012 16:00:00,1.86,1.87,1.8,611112,Up
1/26/2012 16:00:00,1.93,1.97,1.87,1271028,Up
1/27/2012 16:00:00,1.96,1.98,1.9,748361,Up
1/30/2012 16:00:00,1.97,1.97,1.9,728979,Up
1/31/2012 16:00:00,1.94,2,1.92,956713,Up
2/1/2012 16:00:00,1.97,1.98,1.93,523169,Up
2/2/2012 16:00:00,2.02,2.06,1.97,805610,Up
2/3/2012 16:00:00,2.08,2.09,2.02,764418,Up
2/6/2012 16:00:00,2.12,2.13,2.07,652161,Up
2/7/2012 16:00:00,2.11,2.12,2.05,1021503,Up
2/8/2012 16:00:00,2.13,2.13,2.09,623626,Up
2/9/2012 16:00:00,2.17,2.19,2.1,1277968,Up
2/10/2012 16:00:00,2.07,2.15,1.99,1874139,Up
2/13/2012 16:00:00,2.1,2.14,2.06,1157858,Up
2/14/2012 16:00:00,2.21,2.25,2.09,1811365,Up
2/15/2012 16:00:00,2.24,2.29,2.15,2764476,Up
2/16/2012 16:00:00,2.28,2.3,2.17,2219636,Up
2/17/2012 16:00:00,2.33,2.33,2.23,1376645,Up
2/21/2012 16:00:00,2.3,2.32,2.25,1135788,Up
2/22/2012 16:00:00,2.28,2.31,2.17,1654985,Up
2/23/2012 16:00:00,2.3,2.33,2.24,820345,Up
2/24/2012 16:00:00,2.25,2.3,2.22,959866,Up
2/27/2012 16:00:00,2.24,2.27,2.2,605953,Up
2/28/2012 16:00:00,2.25,2.3,2.21,612183,Up
2/29/2012 16:00:00,2.23,2.27,2.21,535684,Up
3/1/2012 16:00:00,2.29,2.3,2.22,703435,Up
3/2/2012 16:00:00,2.27,2.3,2.25,549971,Up
3/5/2012 16:00:00,2.25,2.29,2.23,466938,Up
3/6/2012 16:00:00,2.21,2.22,2.17,573749,Down
3/7/2012 16:00:00,2.21,2.22,2.19,364831,Down
3/8/2012 16:00:00,2.2,2.23,2.2,633267,Down
3/9/2012 16:00:00,2.32,2.35,2.21,1553423,Down
3/12/2012 16:00:00,2.4,2.42,2.31,1964520,Down
3/13/2012 16:00:00,2.41,2.44,2.37,1001643,Down
3/14/2012 16:00:00,2.35,2.4,2.32,851464,Down
3/15/2012 16:00:00,2.33,2.37,2.32,571596,Down
3/16/2012 16:00:00,2.35,2.39,2.32,729236,Down
3/19/2012 16:00:00,2.33,2.35,2.3,1015586,Down
3/20/2012 16:00:00,2.33,2.35,2.3,567001,Down
3/21/2012 16:00:00,2.34,2.35,2.31,607103,Down
3/22/2012 16:00:00,2.29,2.34,2.29,522353,Down
3/23/2012 16:00:00,2.27,2.31,2.21,1170567,Down
3/26/2012 16:00:00,2.49,2.54,2.34,3140891,Down
3/27/2012 16:00:00,2.53,2.66,2.47,2540053,Down
3/28/2012 16:00:00,2.52,2.56,2.47,954970,Down
3/29/2012 16:00:00,2.49,2.55,2.47,796335,Down
3/30/2012 16:00:00,2.48,2.53,2.45,886312,Down
4/2/2012 16:00:00,2.44,2.53,2.44,1028504,Down
4/3/2012 16:00:00,2.53,2.56,2.44,1104150,Down
4/4/2012 16:00:00,2.33,2.37,2.31,4482816,Down
4/5/2012 16:00:00,2.3,2.36,2.29,1509378,Down
4/9/2012 16:00:00,2.21,2.29,2.21,1655805,Down
4/10/2012 16:00:00,2.16,2.26,2.14,1847669,Down
4/11/2012 16:00:00,2.21,2.22,2.13,1105447,Down
4/12/2012 16:00:00,2.23,2.3,2.19,1034154,Down
4/13/2012 16:00:00,2.24,2.27,2.19,649580,Down
4/16/2012 16:00:00,2.15,2.25,2.14,1099751,Down
4/17/2012 16:00:00,2.15,2.2,2.14,1115538,Down
4/18/2012 16:00:00,2.18,2.18,2.1,823096,Down
4/19/2012 16:00:00,2.21,2.23,2.17,774878,Down
4/20/2012 16:00:00,2.21,2.25,2.2,821774,Down
4/23/2012 16:00:00,2.13,2.2,2.11,890715,Down
4/24/2012 16:00:00,2.12,2.15,2.07,674467,Down
4/25/2012 16:00:00,2.19,2.2,2.14,712133,Down
4/26/2012 16:00:00,2.23,2.23,2.19,427619,Down
4/27/2012 16:00:00,2.22,2.24,2.19,590205,Down
4/30/2012 16:00:00,2.21,2.22,2.17,413948,Down
5/1/2012 16:00:00,2.25,2.28,2.21,658947,Down
5/2/2012 16:00:00,2.26,2.29,2.23,497251,Down
5/3/2012 16:00:00,2.16,2.27,2.14,842107,Down
5/4/2012 16:00:00,2.12,2.16,2.09,1247486,Down
5/7/2012 16:00:00,2.16,2.17,2.11,1157969,Down
5/8/2012 16:00:00,2.01,2.18,1.96,3097180,Down
5/9/2012 16:00:00,2,2.05,1.98,1947828,Down
5/10/2012 16:00:00,2.2,2.31,2.16,5556301,Down
5/11/2012 16:00:00,2.15,2.23,2.14,1221205,Down
5/14/2012 16:00:00,2,2.14,2,1380842,Down
5/15/2012 16:00:00,1.96,2.06,1.95,1585682,Down
5/16/2012 16:00:00,1.95,2.01,1.93,1257193,Down
5/17/2012 16:00:00,1.9,1.99,1.88,1149043,Down
5/18/2012 16:00:00,1.84,1.9,1.79,1616487,Down
5/21/2012 16:00:00,1.92,1.95,1.81,1475170,Down
5/22/2012 16:00:00,2.05,2.09,2,2366170,Down
5/23/2012 16:00:00,2.07,2.07,1.97,1220349,Down
5/24/2012 16:00:00,2.02,2.08,1.98,1075520,Down
5/25/2012 16:00:00,1.99,2.03,1.95,757009,Down
5/29/2012 16:00:00,2.11,2.13,2,1649917,Down
5/30/2012 16:00:00,2.03,2.09,2.02,1307141,Down
5/31/2012 16:00:00,1.97,2.02,1.92,1118701,Down
6/1/2012 16:00:00,1.88,1.94,1.85,885710,Down
